,Id,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Heating,GrLivArea,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageCars,GarageArea,YrSold,SaleCondition,SalePrice
34,35,7313,NridgHt,TwnhsE,1Story,9,5,2005,GasA,1561,6,Attchd,2005.0,2,556,2007,Normal,277500
35,36,13418,NridgHt,1Fam,2Story,8,5,2004,GasA,2452,9,BuiltIn,2004.0,3,691,2006,Normal,309000
36,37,10859,CollgCr,1Fam,1Story,5,5,1994,GasA,1097,6,Attchd,1995.0,2,672,2009,Normal,145000
37,38,8532,NAmes,1Fam,1Story,5,6,1954,GasA,1297,5,Attchd,1954.0,2,498,2009,Normal,153000
38,39,7922,NAmes,1Fam,1Story,5,7,1953,GasA,1057,5,Detchd,1953.0,1,246,2010,Abnorml,109000
39,40,6040,Edwards,Duplex,1Story,4,5,1955,GasA,1152,6,,,0,0,2008,AdjLand,82000
40,41,8658,NAmes,1Fam,1Story,6,5,1965,GasA,1324,6,Attchd,1965.0,2,440,2006,Abnorml,160000
41,42,16905,Timber,1Fam,1Story,5,6,1959,GasA,1328,5,Attchd,1959.0,1,308,2007,Normal,170000
42,43,9180,SawyerW,1Fam,SFoyer,5,7,1983,GasA,884,5,Attchd,1983.0,2,504,2007,Normal,144000
43,44,9200,CollgCr,1Fam,1Story,5,6,1975,GasA,938,5,Detchd,1977.0,1,308,2008,Normal,130250
44,45,7945,NAmes,1Fam,1Story,5,6,1959,GasA,1150,6,Attchd,1959.0,1,300,2006,Normal,141000
45,46,7658,NridgHt,TwnhsE,1Story,9,5,2005,GasA,1752,6,Attchd,2005.0,2,576,2010,Normal,319900
46,47,12822,Mitchel,1Fam,1.5Fin,7,5,2003,GasA,2149,6,Attchd,2003.0,2,670,2009,Abnorml,239686
47,48,11096,Somerst,1Fam,1Story,8,5,2006,GasA,1656,7,Attchd,2006.0,3,826,2007,Normal,249700
48,49,4456,OldTown,2fmCon,2Story,4,5,1920,GasA,1452,8,,,0,0,2009,Partial,113000
49,50,7742,Sawyer,1Fam,1Story,5,7,1966,GasA,955,6,Attchd,1966.0,1,386,2007,Normal,127000
50,51,13869,Gilbert,1Fam,2Story,6,6,1997,GasA,1470,6,Attchd,1997.0,2,388,2007,Normal,177000
51,52,6240,BrkSide,1Fam,1.5Fin,6,6,1934,GasA,1176,6,Detchd,1985.0,2,528,2006,Normal,114500
52,53,8472,IDOTRR,Duplex,1Story,5,5,1963,GasA,816,5,CarPort,1963.0,2,516,2010,Normal,110000
53,54,50271,Veenker,1Fam,1Story,9,5,1981,GasA,1842,5,Attchd,1981.0,3,894,2006,Normal,385000
54,55,7134,NAmes,1Fam,SLvl,5,5,1955,GasA,1360,6,Detchd,1962.0,2,572,2007,Normal,130000
55,56,10175,NAmes,1Fam,1Story,6,5,1964,GasA,1425,7,Attchd,1964.0,2,576,2008,Normal,180500
56,57,2645,Somerst,Twnhs,2Story,8,5,1999,GasA,1739,7,Attchd,1999.0,2,480,2009,Abnorml,172500
57,58,11645,CollgCr,1Fam,2Story,7,5,2004,GasA,1720,7,Attchd,2004.0,2,565,2006,Normal,196500
58,59,13682,StoneBr,1Fam,2Story,10,5,2006,GasA,2945,10,BuiltIn,2006.0,3,641,2006,Partial,438780
59,60,7200,CollgCr,1Fam,1Story,5,7,1972,GasA,780,4,Detchd,1973.0,1,352,2008,Normal,124900
60,61,13072,SawyerW,1Fam,1Story,6,5,2004,GasA,1158,5,Detchd,2006.0,2,576,2006,Partial,158000
61,62,7200,IDOTRR,1Fam,2.5Unf,5,7,1920,GasA,1111,6,Detchd,1935.0,1,288,2007,Normal,101000
62,63,6442,NridgHt,TwnhsE,1Story,8,5,2006,GasA,1370,6,Attchd,2006.0,2,484,2007,Normal,202500
63,64,10300,OldTown,1Fam,2Story,7,6,1921,GasA,1710,9,Detchd,1990.0,2,480,2010,Normal,140000
64,65,9375,CollgCr,1Fam,2Story,7,5,1997,GasA,2034,8,Attchd,1998.0,2,645,2009,Normal,219500
65,66,9591,NridgHt,1Fam,2Story,8,5,2004,GasA,2473,9,BuiltIn,2004.0,3,852,2007,Normal,317000
66,67,19900,NAmes,1Fam,1Story,7,5,1970,GasA,2207,7,Attchd,1970.0,2,576,2010,Normal,180000
67,68,10665,CollgCr,1Fam,1Story,7,5,2003,GasA,1479,7,Attchd,2003.0,2,558,2007,Normal,226000
68,69,4608,OldTown,1Fam,1Story,4,6,1945,GasA,747,4,Attchd,1945.0,1,220,2010,Normal,80000
69,70,15593,ClearCr,1Fam,1.5Fin,7,4,1953,GasW,2287,7,Attchd,1953.0,2,667,2006,Normal,225000
70,71,13651,NAmes,1Fam,1Story,7,6,1973,GasA,2223,8,Attchd,1973.0,2,516,2007,Normal,244000
71,72,7599,Mitchel,1Fam,1Story,4,6,1982,GasA,845,4,Detchd,1987.0,2,360,2007,Normal,129500
72,73,10141,Gilbert,1Fam,2Story,7,5,1998,GasA,1718,7,Attchd,1998.0,2,427,2009,Normal,185000
73,74,10200,NAmes,1Fam,1Story,5,7,1954,GasA,1086,6,Attchd,1989.0,2,490,2010,Normal,144900
74,75,5790,OldTown,1Fam,2Story,3,6,1915,GasA,1605,8,Detchd,1915.0,1,379,2010,Normal,107400
75,76,1596,MeadowV,Twnhs,SLvl,4,5,1973,GasA,988,5,BuiltIn,1973.0,1,297,2009,Normal,91000
76,77,8475,NAmes,1Fam,1Story,4,7,1956,GasA,952,4,Detchd,1956.0,1,283,2008,Normal,135750
77,78,8635,BrkSide,1Fam,1.5Fin,5,5,1948,GasA,1285,6,Detchd,1948.0,1,240,2008,Normal,127000
78,79,10778,Sawyer,Duplex,1Story,4,5,1968,GasA,1768,8,,,0,0,2010,Normal,136500
79,80,10440,OldTown,1Fam,2Story,5,6,1910,GasA,1230,5,Detchd,1966.0,2,440,2009,Normal,110000
80,81,13000,NAmes,1Fam,2Story,6,6,1968,GasA,2142,8,Attchd,1968.0,1,509,2009,Normal,193500
81,82,4500,Mitchel,TwnhsE,1Story,6,5,1998,GasA,1337,5,Attchd,1998.0,2,405,2006,Normal,153500
82,83,10206,Somerst,1Fam,1Story,8,5,2007,GasA,1563,6,Attchd,2007.0,3,758,2008,Normal,245000
83,84,8892,NAmes,1Fam,1Story,5,5,1960,GasA,1065,6,Detchd,1974.0,2,461,2007,Normal,126500
84,85,8530,Gilbert,1Fam,SLvl,7,5,1995,GasA,1474,7,BuiltIn,1995.0,2,400,2009,Normal,168500
85,86,16059,NoRidge,1Fam,2Story,8,5,1991,GasA,2417,9,Attchd,1991.0,2,462,2006,Normal,260000
86,87,11911,Gilbert,1Fam,2Story,6,5,2005,GasA,1560,6,BuiltIn,2005.0,2,400,2009,Normal,174000
87,88,3951,Somerst,TwnhsE,2Story,6,5,2009,GasA,1224,4,Detchd,2009.0,2,528,2009,Partial,164500
88,89,8470,IDOTRR,1Fam,1.5Fin,3,2,1915,GasA,1526,6,,,0,0,2009,Abnorml,85000
89,90,8070,CollgCr,1Fam,1Story,4,5,1994,GasA,990,5,,,0,0,2007,Normal,123600
90,91,7200,NAmes,1Fam,1Story,4,5,1950,GasA,1040,4,Detchd,1950.0,2,420,2006,Normal,109900
91,92,8500,NAmes,1Fam,1Story,5,3,1961,GasA,1235,6,Attchd,1961.0,2,480,2006,Abnorml,98600
92,93,13360,Crawfor,1Fam,1Story,5,7,1921,GasA,964,5,Detchd,1921.0,2,432,2009,Normal,163500
93,94,7200,OldTown,2fmCon,2.5Unf,6,6,1910,GasW,2291,9,Detchd,1900.0,2,506,2007,Normal,133900
94,95,9337,CollgCr,1Fam,2Story,6,5,1997,GasA,1786,7,Attchd,1997.0,2,684,2007,Normal,204750
95,96,9765,Gilbert,1Fam,2Story,6,8,1993,GasA,1470,6,BuiltIn,1993.0,2,420,2009,Normal,185000
96,97,10264,CollgCr,1Fam,1Story,7,5,1999,GasA,1588,6,Attchd,1999.0,2,472,2006,Normal,214000
97,98,10921,Edwards,1Fam,1Story,4,5,1965,GasA,960,6,Attchd,1965.0,1,432,2007,Normal,94750
98,99,10625,Edwards,1Fam,1Story,5,5,1920,GasA,835,5,Basment,1920.0,1,366,2010,Abnorml,83000
99,100,9320,NAmes,1Fam,1Story,4,5,1959,GasA,1225,6,,,0,0,2010,Normal,128950
100,101,10603,NWAmes,1Fam,1Story,6,7,1977,GasA,1610,6,Attchd,1977.0,2,480,2010,Normal,205000
101,102,9206,SawyerW,1Fam,2Story,6,5,1985,GasA,1732,7,Attchd,1985.0,2,476,2010,Normal,178000
102,103,7018,SawyerW,Duplex,1Story,5,5,1979,GasA,1535,8,Attchd,1979.0,2,410,2009,Alloca,118964
103,104,10402,CollgCr,1Fam,1Story,7,5,2009,GasA,1226,6,Attchd,2009.0,3,740,2010,Normal,198900
104,105,7758,IDOTRR,1Fam,1.5Fin,7,4,1931,GasA,1818,7,Detchd,1951.0,1,240,2007,Normal,169500
105,106,9375,Somerst,1Fam,2Story,8,5,2003,GasA,1992,9,Attchd,2003.0,2,648,2008,Normal,250000
106,107,10800,OldTown,1Fam,1Story,4,7,1885,GasA,1047,6,Detchd,1954.0,1,273,2007,Normal,100000
107,108,6000,OldTown,1Fam,1Story,5,5,1948,GasA,789,5,Detchd,1948.0,1,250,2008,Partial,115000
108,109,8500,IDOTRR,1Fam,1.5Fin,5,7,1919,GasW,1517,7,,,0,0,2007,Normal,115000
109,110,11751,NWAmes,1Fam,1Story,6,6,1977,GasA,1844,7,Attchd,1977.0,2,546,2010,Normal,190000
110,111,9525,Edwards,1Fam,1.5Fin,6,4,1954,GasA,1855,7,Attchd,1954.0,1,325,2006,Normal,136900
111,112,7750,Gilbert,1Fam,SLvl,7,5,2000,GasA,1430,7,BuiltIn,2000.0,2,400,2010,Normal,180000
112,113,9965,CollgCr,1Fam,2Story,7,5,2007,GasA,2696,10,BuiltIn,2007.0,3,792,2007,Partial,383970
113,114,21000,Crawfor,1Fam,1Story,6,5,1953,GasA,2259,7,Basment,1953.0,2,450,2007,Abnorml,217000
114,115,7259,Crawfor,1Fam,2Story,6,8,1945,GasA,2320,9,Detchd,1945.0,1,180,2007,Normal,259500
115,116,3230,Somerst,TwnhsE,2Story,6,5,1999,GasA,1458,5,Detchd,1999.0,2,440,2007,Normal,176000
116,117,11616,Sawyer,1Fam,1Story,5,5,1962,GasA,1092,6,Attchd,1962.0,1,288,2009,Normal,139000
117,118,8536,Edwards,1Fam,1Story,5,5,2006,GasA,1125,5,Attchd,2007.0,2,430,2007,Partial,155000
118,119,12376,SawyerW,1Fam,2Story,7,5,1990,GasA,3222,11,Attchd,1990.0,3,594,2010,Normal,320000
119,120,8461,CollgCr,1Fam,2Story,6,5,2005,GasA,1456,8,Attchd,2005.0,2,390,2006,Partial,163990
120,121,21453,ClearCr,1Fam,SLvl,6,5,1969,GasA,988,4,Attchd,1969.0,2,540,2006,Normal,180000
121,122,6060,IDOTRR,1Fam,1.5Fin,4,5,1939,GasA,1123,4,Detchd,1979.0,1,264,2007,Normal,100000
122,123,9464,NAmes,1Fam,1Story,6,7,1958,GasA,1080,5,Attchd,1958.0,1,288,2008,Normal,136000
123,124,7892,SawyerW,TwnhsE,1Story,6,5,1993,GasA,1199,5,Attchd,1993.0,2,530,2008,Normal,153900
124,125,17043,NWAmes,1Fam,1Story,6,5,1979,GasA,1586,7,Attchd,1979.0,2,435,2009,Normal,181000
125,126,6780,IDOTRR,2fmCon,1.5Fin,6,8,1935,GasA,754,5,,,0,0,2006,Normal,84500
126,127,4928,NPkVill,TwnhsE,1Story,6,5,1976,GasA,958,5,Attchd,1977.0,2,440,2007,Normal,128000
127,128,4388,OldTown,1Fam,1.5Unf,5,7,1930,GasA,840,5,,,0,0,2007,Normal,87000
128,129,7590,NAmes,1Fam,2Story,6,5,1966,GasA,1348,6,Attchd,1966.0,2,453,2006,Normal,155000
129,130,8973,NAmes,1Fam,1Story,5,7,1958,GasA,1053,6,2Types,1998.0,2,750,2006,Abnorml,150000
130,131,14200,NAmes,1Fam,2Story,7,6,1966,GasA,2157,8,Attchd,1966.0,2,487,2006,Normal,226000
131,132,12224,Gilbert,1Fam,2Story,6,5,2000,GasA,2054,7,BuiltIn,2000.0,2,390,2009,Normal,244000
132,133,7388,NAmes,1Fam,1Story,5,6,1959,GasA,1327,7,Detchd,1974.0,2,624,2007,Normal,150750
133,134,6853,Timber,1Fam,1Story,8,5,2001,GasA,1296,6,Attchd,2001.0,2,471,2009,Normal,220000
134,135,10335,Sawyer,1Fam,1Story,5,6,1968,GasA,1721,7,Attchd,1968.0,2,440,2006,Normal,180000
135,136,10400,NWAmes,1Fam,1Story,7,6,1970,GasA,1682,7,Attchd,1970.0,2,530,2008,Normal,174000
136,137,10355,NAmes,1Fam,1Story,5,5,1967,GasA,1214,5,Attchd,1967.0,1,318,2007,Normal,143000
137,138,11070,Mitchel,Duplex,1Story,7,5,1988,GasA,1959,9,2Types,1989.0,3,766,2006,Family,171000
138,139,9066,CollgCr,1Fam,2Story,8,5,1999,GasA,1852,7,Attchd,1999.0,3,660,2008,Normal,230000
139,140,15426,CollgCr,1Fam,2Story,6,5,1997,GasA,1764,7,Attchd,1997.0,2,470,2009,Normal,231500
140,141,10500,NAmes,1Fam,1Story,4,5,1971,GasA,864,5,,,0,0,2010,Normal,115000
141,142,11645,CollgCr,1Fam,1Story,7,5,2005,GasA,1734,7,Attchd,2005.0,2,660,2006,Normal,260000
142,143,8520,NAmes,1Fam,1.5Fin,5,4,1952,GasA,1385,6,Detchd,2000.0,2,720,2010,Normal,166000
143,144,10335,CollgCr,1Fam,1Story,7,5,1999,GasA,1501,6,Attchd,1999.0,2,577,2009,Normal,204000
144,145,9100,Sawyer,Duplex,1Story,5,5,1963,GasA,1728,10,Detchd,1963.0,2,504,2006,Abnorml,125000
145,146,2522,Edwards,Twnhs,2Story,6,5,2004,GasA,1709,7,Detchd,2004.0,2,380,2006,Normal,130000
146,147,6120,BrkSide,1Fam,1Story,5,7,1931,GasA,875,5,Detchd,1931.0,1,180,2009,Normal,105000
147,148,9505,Gilbert,1Fam,2Story,7,5,2001,GasA,2035,8,BuiltIn,2001.0,2,434,2010,Normal,222500
148,149,7500,SawyerW,1Fam,1Story,7,5,2004,GasA,1080,6,,,0,0,2008,Normal,141000
149,150,6240,BrkSide,1Fam,1.5Fin,5,4,1936,GasA,1344,7,Detchd,1936.0,1,240,2006,Normal,115000
150,151,10356,CollgCr,1Fam,1Story,5,6,1975,GasA,969,5,Attchd,1975.0,2,440,2007,Normal,122000
151,152,13891,NridgHt,1Fam,1Story,8,5,2007,GasA,1710,6,Attchd,2007.0,3,866,2008,Partial,372402
152,153,14803,NWAmes,1Fam,2Story,6,5,1971,GasA,1993,8,Attchd,1971.0,2,495,2006,Normal,190000
153,154,13500,ClearCr,1Fam,1Story,6,7,1960,GasA,1252,4,Attchd,1960.0,2,564,2008,Normal,235000
154,155,11340,OldTown,1Fam,1Story,6,5,1923,GasA,1200,7,Detchd,1923.0,1,312,2006,Family,125000
155,156,9600,Edwards,1Fam,1.5Fin,6,5,1924,Grav,1096,5,,,0,0,2008,Normal,79000
156,157,7200,NAmes,1Fam,1Story,5,7,1950,GasA,1040,5,Detchd,1950.0,2,625,2006,Normal,109500
157,158,12003,Timber,1Fam,2Story,8,5,2009,GasA,1968,8,BuiltIn,2009.0,3,680,2010,Partial,269500
158,159,12552,Somerst,1Fam,2Story,7,5,2004,GasA,1947,8,Attchd,2004.0,2,678,2010,Normal,254900
159,160,19378,Gilbert,1Fam,2Story,7,5,2005,GasA,2462,9,Attchd,2006.0,2,576,2006,Partial,320000
160,161,11120,Veenker,1Fam,1Story,6,6,1984,GasA,1232,6,Attchd,1984.0,2,516,2008,Normal,162500
161,162,13688,NridgHt,1Fam,2Story,9,5,2003,GasA,2668,10,BuiltIn,2003.0,3,726,2008,Normal,412500
162,163,12182,NridgHt,1Fam,1Story,7,5,2005,GasA,1541,7,Attchd,2005.0,2,532,2010,Partial,220000
163,164,5500,OldTown,1Fam,1.5Unf,4,6,1956,GasA,882,4,,,0,0,2007,Normal,103200
164,165,5400,OldTown,1Fam,1Story,6,7,1926,GasA,1616,5,Detchd,1926.0,1,216,2007,Normal,152000
165,166,10106,Edwards,2fmCon,1.5Fin,5,7,1940,GasA,1355,6,,,0,0,2008,Normal,127500
166,167,10708,ClearCr,1Fam,1Story,5,5,1955,GasA,1867,7,Attchd,1955.0,1,303,2009,Normal,190000
167,168,10562,NridgHt,1Fam,2Story,8,5,2007,GasA,2161,8,Attchd,2007.0,3,789,2007,Partial,325624
168,169,8244,Gilbert,1Fam,2Story,7,5,2004,GasA,1720,7,Attchd,2004.0,2,440,2007,Normal,183500
169,170,16669,Timber,1Fam,1Story,8,6,1981,GasA,1707,6,Attchd,1981.0,2,511,2006,Normal,228000
170,171,12358,OldTown,1Fam,1.5Fin,5,6,1941,GasA,1382,7,Detchd,1991.0,2,660,2007,Normal,128500
171,172,31770,NAmes,1Fam,1Story,6,5,1960,GasA,1656,7,Attchd,1960.0,2,528,2010,Normal,215000
172,173,5306,StoneBr,TwnhsE,2Story,7,7,1987,GasA,1767,5,Attchd,1987.0,2,504,2006,Normal,239000
173,174,10197,NAmes,1Fam,1Story,6,5,1961,GasA,1362,6,Attchd,1961.0,2,504,2008,Normal,163000
174,175,12416,Timber,1Fam,1Story,6,5,1986,GasA,1651,7,Attchd,1986.0,2,616,2008,Normal,184000
175,176,12615,Edwards,1Fam,1Story,6,7,1950,GasA,2158,7,Attchd,1950.0,2,576,2007,Normal,243000
176,177,10029,ClearCr,1Fam,2Story,6,5,1988,GasA,2060,8,Attchd,1988.0,2,521,2007,Normal,211000
177,178,13650,Sawyer,1Fam,1.5Fin,5,5,1958,GasA,1920,8,Attchd,1958.0,2,451,2006,Normal,172500
178,179,17423,StoneBr,1Fam,1Story,9,5,2008,GasA,2234,9,Attchd,2009.0,3,1166,2009,Partial,501837
179,180,8520,OldTown,1Fam,1Story,5,6,1923,GasA,968,5,Detchd,1935.0,2,480,2007,Normal,100000
180,181,2117,Somerst,Twnhs,2Story,6,5,2000,GasA,1525,5,Detchd,2000.0,2,440,2007,Normal,177000
181,182,7588,Crawfor,1Fam,2Story,7,6,1920,GasA,1802,9,Detchd,1920.0,1,216,2006,Normal,200100
182,183,9060,Edwards,1Fam,1Story,5,6,1957,GasA,1340,7,Attchd,1957.0,1,252,2007,Normal,120000
183,184,11426,OldTown,1Fam,1.5Fin,7,5,2003,GasA,2082,6,Detchd,2003.0,2,484,2008,Normal,200000
184,185,7438,BrkSide,1Fam,1.5Fin,5,8,1908,GasA,1252,5,Attchd,1986.0,2,576,2006,Normal,127000
185,186,22950,OldTown,1Fam,2.5Fin,10,9,1892,GasA,3608,12,Detchd,1993.0,3,840,2006,Normal,475000
186,187,9947,Mitchel,1Fam,SLvl,7,5,1990,GasA,1217,6,Attchd,1990.0,2,497,2009,Normal,173000
187,188,10410,OldTown,1Fam,1.5Fin,5,7,1916,GasA,1656,8,Detchd,1916.0,1,180,2009,Normal,135000
188,189,7018,SawyerW,Duplex,SFoyer,5,5,1979,GasA,1224,6,Detchd,1979.0,2,528,2009,Alloca,153337
189,190,4923,StoneBr,TwnhsE,1Story,8,5,2001,GasA,1593,5,Attchd,2001.0,2,682,2008,Normal,286000
190,191,10570,Crawfor,1Fam,2Story,8,8,1932,GasA,2727,10,Detchd,1932.0,2,440,2007,Normal,315000
191,192,7472,NAmes,1Fam,2Story,7,9,1972,GasA,1479,7,Attchd,1972.0,2,484,2007,Normal,184000
192,193,9017,CollgCr,1Fam,1Story,7,5,1999,GasA,1431,6,Attchd,1999.0,2,666,2009,Normal,192000
193,194,2522,Edwards,Twnhs,2Story,7,5,2004,GasA,1709,7,Detchd,2004.0,2,380,2006,Normal,130000
194,195,7180,CollgCr,1Fam,1Story,5,7,1972,GasA,864,5,Detchd,1989.0,1,352,2008,Normal,127000
195,196,2280,NPkVill,Twnhs,2Story,6,6,1976,GasA,1456,7,Attchd,1976.0,2,440,2009,Normal,148500
196,197,9416,Somerst,1Fam,1Story,7,5,2007,GasA,1726,8,Attchd,2007.0,3,786,2007,Partial,311872
197,198,25419,NAmes,1Fam,2Story,8,4,1918,GasA,3112,8,Detchd,1918.0,2,795,2006,Abnorml,235000
198,199,5520,OldTown,1Fam,2.5Fin,6,6,1912,GasA,2229,8,,,0,0,2009,Abnorml,104000
199,200,9591,NridgHt,1Fam,1Story,8,5,2004,GasA,1713,7,Attchd,2004.0,3,856,2009,Normal,274900
200,201,8546,Edwards,1Fam,1Story,4,5,2003,GasA,1121,5,Attchd,2003.0,2,440,2010,Normal,140000
201,202,10125,Mitchel,1Fam,1Story,6,6,1977,GasA,1279,6,Detchd,1980.0,2,473,2008,Normal,171500
202,203,7000,OldTown,1Fam,1.5Fin,6,6,1924,GasA,1310,6,Attchd,1924.0,1,398,2006,Normal,112000
203,204,4438,CollgCr,TwnhsE,1Story,6,5,2004,GasA,848,3,Attchd,2004.0,2,420,2008,Normal,149000
204,205,3500,OldTown,1Fam,1.5Fin,5,7,1947,GasA,1284,5,Detchd,1948.0,1,240,2009,Normal,110000
205,206,11851,Gilbert,1Fam,1Story,7,5,1990,GasA,1442,5,Attchd,1990.0,2,500,2009,Normal,180500
206,207,13673,Sawyer,1Fam,1Story,5,5,1962,GasA,1696,8,Attchd,1962.0,1,349,2007,Normal,143900
207,208,12493,NAmes,1Fam,1Story,4,5,1960,GasA,1100,6,Attchd,1960.0,1,312,2008,Normal,141000
208,209,14364,SawyerW,1Fam,2Story,7,5,1988,GasA,2062,7,Attchd,1988.0,2,454,2007,Normal,277000
209,210,8250,NAmes,1Fam,1Story,6,7,1964,GasA,1092,6,Attchd,1964.0,2,504,2008,Normal,145000
210,211,5604,Edwards,1Fam,1Story,5,6,1925,GasA,864,5,,,0,0,2008,Normal,98000
211,212,10420,Edwards,1Fam,1Story,6,5,2009,GasA,1212,6,Attchd,2009.0,2,460,2010,Normal,186000
212,213,8640,Somerst,1Fam,2Story,7,5,2009,GasA,1852,7,Attchd,2009.0,2,644,2009,Partial,252678
213,214,13568,CollgCr,1Fam,1Story,5,5,1995,GasA,990,5,Attchd,1996.0,2,576,2006,Normal,156000
214,215,10900,CollgCr,1Fam,2Story,6,7,1977,GasA,1392,6,Attchd,1977.0,1,299,2010,Normal,161750
215,216,10011,NAmes,1Fam,1Story,5,6,1957,GasA,1236,6,Attchd,1957.0,1,447,2006,Normal,134450
216,217,8450,CollgCr,1Fam,1Story,7,5,2004,GasA,1436,8,Attchd,2004.0,2,484,2008,Normal,210000
217,218,9906,OldTown,1Fam,2Story,4,4,1925,GasA,1328,8,Detchd,1940.0,1,210,2006,Family,107000
218,219,15660,Crawfor,1Fam,1.5Fin,7,9,1939,GasA,1954,8,Attchd,1939.0,2,431,2008,Normal,311500
219,220,3010,Blmngtn,TwnhsE,1Story,7,5,2005,GasA,1248,5,Attchd,2005.0,2,438,2006,Partial,167240
220,221,8990,CollgCr,1Fam,1Story,7,5,2006,GasA,1498,5,Attchd,2006.0,2,675,2006,Partial,204900
221,222,8068,Gilbert,1Fam,2Story,6,5,2002,GasA,2267,8,BuiltIn,2002.0,2,390,2009,Normal,200000
